Accession	Organism_Name	GenBank_RefSeq	Assembly	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Length	Nuc_Completeness	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date
HM236934.1	Rhinovirus C	GenBank	set:HM236934	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_4917/07	Rhinovirus C	834	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-05
HM236935.1	Rhinovirus C	GenBank	set:HM236935	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_5130/07	Rhinovirus C	816	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-05
HM236936.1	Rhinovirus C	GenBank	set:HM236936	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_5145/07	Rhinovirus C	822	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-05
HM236937.1	Rhinovirus C	GenBank	set:HM236937	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_5279/07	Rhinovirus C	825	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-06
HM236938.1	Rhinovirus C	GenBank	set:HM236938	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_5554/07	Rhinovirus C	816	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-07
HM236939.1	Rhinovirus C	GenBank	set:HM236939	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_7147/07	Rhinovirus C	822	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-12
HM236940.1	Rhinovirus C	GenBank	set:HM236940	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_5567/07	Rhinovirus C	816	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-07
HM236941.1	Rhinovirus C	GenBank	set:HM236941	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_5568/07	Rhinovirus C	822	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-07
HM236942.1	Rhinovirus C	GenBank	set:HM236942	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_5571/07	Rhinovirus C	816	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-07
HM236943.1	Rhinovirus C	GenBank	set:HM236943	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_5607/07	Rhinovirus C	822	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-07
HM236944.1	Rhinovirus C	GenBank	set:HM236944	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_5910/07	Rhinovirus C	822	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-09
HM236945.1	Rhinovirus C	GenBank	set:HM236945	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_5998/07	Rhinovirus C	822	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-09
HM236946.1	Rhinovirus C	GenBank	set:HM236946	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_6082/07	Rhinovirus C	825	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-09
HM236947.1	Rhinovirus C	GenBank	set:HM236947	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_6145/07	Rhinovirus C	798	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-09
HM236948.1	Rhinovirus C	GenBank	set:HM236948	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_3733/07	Rhinovirus C	843	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-01
HM236949.1	Rhinovirus C	GenBank	set:HM236949	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_5345/07	Rhinovirus C	822	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-06
HM236950.1	Rhinovirus C	GenBank	set:HM236950	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_3499/07	Rhinovirus C	843	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-01
HM236951.1	Rhinovirus C	GenBank	set:HM236951	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_2744/06	Rhinovirus C	822	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2006-10
HM236952.1	Rhinovirus C	GenBank	set:HM236952	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_2832/06	Rhinovirus C	809	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2006-10
HM236953.1	Rhinovirus C	GenBank	set:HM236953	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_3089/06	Rhinovirus C	831	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2006-12
HM236954.1	Rhinovirus C	GenBank	set:HM236954	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_3105/06	Rhinovirus C	831	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2006-12
HM236955.1	Rhinovirus C	GenBank	set:HM236955	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_3628/07	Rhinovirus C	840	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-01
HM236956.1	Rhinovirus C	GenBank	set:HM236956	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_3727/07	Rhinovirus C	843	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-01
HM236957.1	Rhinovirus C	GenBank	set:HM236957	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_3856/07	Rhinovirus C	822	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-02
HM236958.1	Rhinovirus C	GenBank	set:HM236958	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_3922/07	Rhinovirus C	834	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-02
HM236959.1	Rhinovirus C	GenBank	set:HM236959	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_3993/07	Rhinovirus C	831	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-02
HM236960.1	Rhinovirus C	GenBank	set:HM236960	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_4051/07	Rhinovirus C	822	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-02
HM236961.1	Rhinovirus C	GenBank	set:HM236961	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_4097/07	Rhinovirus C	816	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-02
HM236962.1	Rhinovirus C	GenBank	set:HM236962	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_4252/07	Rhinovirus C	834	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-03
HM236963.1	Rhinovirus C	GenBank	set:HM236963	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_4644/07	Rhinovirus C	840	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-04
HM236964.1	Rhinovirus C	GenBank	set:HM236964	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_4923/07	Rhinovirus C	797	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-05
HM236965.1	Rhinovirus C	GenBank	set:HM236965	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_5789/07	Rhinovirus C	828	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-08
HM236966.1	Rhinovirus C	GenBank	set:HM236966	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_5093/07	Rhinovirus C	828	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-05
HM236967.1	Rhinovirus C	GenBank	set:HM236967	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_5404/07	Rhinovirus C	816	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-07
HM236968.1	Rhinovirus C	GenBank	set:HM236968	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp_3898/07	Rhinovirus C	816	partial	United Kingdom	United Kingdom		Homo sapiens	oronasopharynx	2007-02
HM352737.1	Rhinovirus C	GenBank	set:HM352737	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P., Tapparel,C., Mackay,I.M.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp10061/08	Rhinovirus C	391	partial	United Kingdom	United Kingdom		Homo sapiens		2008-03
HM352738.1	Rhinovirus C	GenBank	set:HM352738	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P., Tapparel,C., Mackay,I.M.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp10221/08	Rhinovirus C	394	partial	United Kingdom	United Kingdom		Homo sapiens		2008-03
HM352739.1	Rhinovirus C	GenBank	set:HM352739	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P., Tapparel,C., Mackay,I.M.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp10300/08	Rhinovirus C	391	partial	United Kingdom	United Kingdom		Homo sapiens		2008-03
HM352740.1	Rhinovirus C	GenBank	set:HM352740	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P., Tapparel,C., Mackay,I.M.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp10801/08	Rhinovirus C	393	partial	United Kingdom	United Kingdom		Homo sapiens		2008-05
HM352741.1	Rhinovirus C	GenBank	set:HM352741	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P., Tapparel,C., Mackay,I.M.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp10888/08	Rhinovirus C	393	partial	United Kingdom	United Kingdom		Homo sapiens		2008-05
HM352742.1	Rhinovirus C	GenBank	set:HM352742	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P., Tapparel,C., Mackay,I.M.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp5562/07	Rhinovirus C	391	partial	United Kingdom	United Kingdom		Homo sapiens		2007-07
HM352743.1	Rhinovirus C	GenBank	set:HM352743	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P., Tapparel,C., Mackay,I.M.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp5910/07	Rhinovirus C	394	partial	United Kingdom	United Kingdom		Homo sapiens		2007-09
HM352744.1	Rhinovirus C	GenBank	set:HM352744	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P., Tapparel,C., Mackay,I.M.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp5995/07	Rhinovirus C	394	partial	United Kingdom	United Kingdom		Homo sapiens		2007-09
HM352745.2	Rhinovirus C	GenBank	set:HM352745	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P., Tapparel,C., Mackay,I.M.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp5998/07	Rhinovirus C	386	partial	United Kingdom	United Kingdom		Homo sapiens		2007-09
HM352746.1	Rhinovirus C	GenBank	set:HM352746	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P., Tapparel,C., Mackay,I.M.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp6424/07	Rhinovirus C	391	partial	United Kingdom	United Kingdom		Homo sapiens		2007-10
HM352747.1	Rhinovirus C	GenBank	set:HM352747	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P., Tapparel,C., Mackay,I.M.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp6691/07	Rhinovirus C	393	partial	United Kingdom	United Kingdom		Homo sapiens		2007-11
HM352748.1	Rhinovirus C	GenBank	set:HM352748	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P., Tapparel,C., Mackay,I.M.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp6808/07	Rhinovirus C	391	partial	United Kingdom	United Kingdom		Homo sapiens		2007-11
HM352749.1	Rhinovirus C	GenBank	set:HM352749	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P., Tapparel,C., Mackay,I.M.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp6830/07	Rhinovirus C	394	partial	United Kingdom	United Kingdom		Homo sapiens		2007-11
HM352750.1	Rhinovirus C	GenBank	set:HM352750	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P., Tapparel,C., Mackay,I.M.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp7147/07	Rhinovirus C	394	partial	United Kingdom	United Kingdom		Homo sapiens		2007-12
HM352751.1	Rhinovirus C	GenBank	set:HM352751	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P., Tapparel,C., Mackay,I.M.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp7235/07	Rhinovirus C	393	partial	United Kingdom	United Kingdom		Homo sapiens		2007-12
HM352752.1	Rhinovirus C	GenBank	set:HM352752	McIntyre,C.L., McWilliam Leitch,E.C., Savolainen-Kopra,C., Hovi,T., Simmonds,P., Tapparel,C., Mackay,I.M.	University of Edinburgh, Centre for Infectious Diseases	United Kingdom	2010-08-21	Resp9449/08	Rhinovirus C	391	partial	United Kingdom	United Kingdom		Homo sapiens		2008-01
HM347236.1	Rhinovirus C	GenBank	set:HM347236	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-04
HM347237.1	Rhinovirus C	GenBank	set:HM347237	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-06
HM347238.1	Rhinovirus C	GenBank	set:HM347238	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-03
HM347239.1	Rhinovirus C	GenBank	set:HM347239	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-03
HM347240.1	Rhinovirus C	GenBank	set:HM347240	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-02
HM347241.1	Rhinovirus C	GenBank	set:HM347241	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-03
HM347242.1	Rhinovirus C	GenBank	set:HM347242	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-05
HM347243.1	Rhinovirus C	GenBank	set:HM347243	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-04
HM347244.1	Rhinovirus C	GenBank	set:HM347244	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-04
HM347245.1	Rhinovirus C	GenBank	set:HM347245	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-10
HM347246.1	Rhinovirus C	GenBank	set:HM347246	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-03
HM347247.1	Rhinovirus C	GenBank	set:HM347247	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-03
HM347248.1	Rhinovirus C	GenBank	set:HM347248	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-10
HM347249.1	Rhinovirus C	GenBank	set:HM347249	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	396	partial	Switzerland	Switzerland		Homo sapiens		2009-05
HM347250.1	Rhinovirus C	GenBank	set:HM347250	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-09
HM347251.1	Rhinovirus C	GenBank	set:HM347251	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-09
HM347252.1	Rhinovirus C	GenBank	set:HM347252	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-09
HM347253.1	Rhinovirus C	GenBank	set:HM347253	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-03
HM347254.1	Rhinovirus C	GenBank	set:HM347254	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-09
HM347255.1	Rhinovirus C	GenBank	set:HM347255	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-09
HM347256.1	Rhinovirus C	GenBank	set:HM347256	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	411	partial	Switzerland	Switzerland		Homo sapiens		2009-05
HM347257.1	Rhinovirus C	GenBank	set:HM347257	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-04
HM347258.1	Rhinovirus C	GenBank	set:HM347258	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-08
HM347259.1	Rhinovirus C	GenBank	set:HM347259	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-05
HM347260.1	Rhinovirus C	GenBank	set:HM347260	Tapparel,C., Cordey,S., Junier,T., Farinelli,L., Van Belle,S., Soccal,P.M., Aubert,J.D., Zdobnov,E., Kaiser,L., Turin,L.	University Hospitals of Geneva, Virology Laboratory Division of Infectious Diseases	Switzerland	2010-08-14		Rhinovirus C	414	partial	Switzerland	Switzerland		Homo sapiens		2009-04
